Name,Brand,Chipset,Price,RAM Slots,Max RAM,Max Clock,M2QTY,Wifi Support,M2 Support
ECS B360 Tiger-T9,ECS,B360,72.55,2,64,2666,1,FALSE,TRUE
Msi B360-F Pro,MSI,B360,72.99,2,64,2666,0,FALSE,FALSE
Asus Prime B360M-A,ASUS,B360,72.76,4,128,2666,2,FALSE,TRUE
Asus ROG Strix B360-F Gaming,ASUS,B360,69.28,4,128,2666,2,FALSE,TRUE
Gigabyte B360M DS3H,GIGABYTE,B360,65.22,4,128,2666,1,FALSE,TRUE
Gigabyte B360M H,GIGABYTE,B360,63.48,2,64,2666,1,FALSE,TRUE
Msi B360 Gaming Plus,MSI,B360,63.22,4,128,2666,1,FALSE,TRUE
Asus Prime B360M-C,ASUS,B360,63.34,4,128,2666,2,FALSE,TRUE
Gigabyte B360M D3V,GIGABYTE,B360,62.91,2,64,2666,1,FALSE,TRUE
Gigabyte B360N Aorus Gaming WiFi,GIGABYTE,B360,62.62,2,64,2666,1,TRUE,TRUE
Asus ROG Strix B360-H Gaming / Optane,ASUS,B360,61.09,4,128,2666,2,FALSE,TRUE
Asus ROG Strix B360-G Gaming,ASUS,B360,60.92,4,128,2666,2,FALSE,TRUE
Asus EX-B360M-V5,ASUS,B360,54.29,2,64,2666,1,FALSE,TRUE
Asus Prime B360M-A / CSM,ASUS,B360,51.62,4,128,2666,2,FALSE,TRUE
Asus TUF B360-Plus Gaming,ASUS,B360,49.78,4,128,2666,2,FALSE,TRUE
Asus TUF B360M-Plus Gaming,ASUS,B360,46.74,4,128,2666,2,FALSE,TRUE
Asus Prime B360M-C / CSM,ASUS,B360,45.90,4,128,2666,2,FALSE,TRUE
Msi B360M Pro-VD,MSI,B360,44.69,2,64,2666,1,FALSE,TRUE
Biostar TB360-BTC+,BIOSTAR,B360,44.19,2,64,2666,1,FALSE,TRUE
Gigabyte B360M Aorus Gaming 3,GIGABYTE,B360,42.07,4,128,2666,2,FALSE,TRUE
Asrock B365 Phantom Gaming 4,ASROCK,B365,43.88,4,128,2666,2,FALSE,TRUE
Asus Prime H310M-A R2.0,ASUS,H310,149.01,2,64,2666,1,FALSE,TRUE
Asus EX-H310M-V3,ASUS,H310,149.80,2,64,2666,0,FALSE,FALSE
Asus Prime H310M-A,ASUS,H310,147.66,2,64,2666,1,FALSE,TRUE
Asrock H310M-HDVP,ASROCK,H310,146.52,2,64,2666,1,FALSE,TRUE
Biostar H310MHD PRO Ver. 6.x,BIOSTAR,H310,145.14,2,64,2666,0,FALSE,FALSE
Gigabyte H310 D3,GIGABYTE,H310,137.75,2,64,2666,1,FALSE,TRUE
Biostar H310MHD PRO2 Ver. 6.x,BIOSTAR,H310,137.59,2,64,2666,1,FALSE,TRUE
Asrock H310CM-DVS,ASROCK,H310,137.99,2,64,2666,0,FALSE,FALSE
Asus Prime H310M-C / CSM,ASUS,H310,135.04,2,64,2666,1,FALSE,TRUE
Msi H310-F Pro,MSI,H310,134.35,2,64,2666,0,FALSE,FALSE
Gigabyte H310M S2,GIGABYTE,H310,134.03,2,64,2666,0,FALSE,FALSE
Biostar H310MDC2,BIOSTAR,H310,132.20,2,64,2666,0,FALSE,FALSE
Asus TUF H310-Plus Gaming,ASUS,H310,131.42,2,64,2666,1,FALSE,TRUE
Biostar H310MDC,BIOSTAR,H310,130.32,2,64,2666,0,FALSE,FALSE
Gigabyte H310M H 2.0,GIGABYTE,H310,130.04,2,64,2666,0,FALSE,FALSE
Asus Prime H310M-E / CSM,ASUS,H310,128.06,2,64,2666,1,FALSE,TRUE
Gigabyte H310M DS2,GIGABYTE,H310,125.31,2,64,2666,0,FALSE,FALSE
Asrock H310M-G / M.2,ASROCK,H310,119.84,2,64,2666,1,FALSE,TRUE
Asus Prime H310M-C,ASUS,H310,119.38,2,64,2666,1,FALSE,TRUE
Asus Prime H310M- Dash,ASUS,H310,113.01,2,64,2666,1,FALSE,TRUE
ECS H310H5-M2DV,ECS,H310,105.93,2,64,2666,0,FALSE,FALSE
Gigabyte H310M DS2 2.0,GIGABYTE,H310,104.92,2,64,2666,0,FALSE,FALSE
Asus Prime H310M-K R2.0,ASUS,H310,103.05,2,64,2666,0,FALSE,FALSE
Gigabyte H310M H,GIGABYTE,H310,101.61,2,64,2666,0,FALSE,FALSE
Gigabyte H310M HD2,GIGABYTE,H310,100.49,2,64,2666,0,FALSE,FALSE
Gigabyte H310M DS2V,GIGABYTE,H310,99.26,2,64,2666,0,FALSE,FALSE
Asus Prime H310M-D / CSM,ASUS,H310,96.16,2,64,2666,1,FALSE,TRUE
Gigabyte H310M S2H GSM (rev.1.1),GIGABYTE,H310,96.73,2,64,2666,1,FALSE,TRUE
Biostar H310MHC Ver. 7.x,BIOSTAR,H310,94.45,2,64,2666,0,FALSE,FALSE
Asus Prime H310M-E,ASUS,H310,89.69,2,64,2666,1,FALSE,TRUE
Msi H310-A Pro,MSI,H310,85.69,2,64,2666,0,FALSE,FALSE
ECS H310H5-M4,ECS,H310,84.93,2,64,2666,1,FALSE,TRUE
Gigabyte H310M S2H (rev.1.0),GIGABYTE,H310,82.07,2,64,2666,1,FALSE,TRUE
Asrock H310M-HDV / M.2,ASROCK,H310,81.27,2,64,2666,1,FALSE,TRUE
Biostar H310MHC2 Ver. 7.x,BIOSTAR,H310,78.30,2,64,2666,0,FALSE,FALSE
Gigabyte H310M S2 2.0,GIGABYTE,H310,76.37,2,64,2666,0,FALSE,FALSE
Asrock H310M-HDV,ASROCK,H310,74.06,2,64,2666,0,FALSE,FALSE
Asus Prime H310M-K,ASUS,H310,66.92,2,64,2666,0,FALSE,FALSE
Asus Prime H310M-D R2.0,ASUS,H310,63.40,2,64,2666,1,FALSE,TRUE
Asus Prime H310M-D,ASUS,H310,61.21,2,64,2666,1,FALSE,TRUE
Asus TUF H310M-Plus Gaming,ASUS,H310,55.16,2,64,2666,1,FALSE,TRUE
Gigabyte H310M A,GIGABYTE,H310,55.71,2,64,2666,1,FALSE,TRUE
Gigabyte H310M DS2V 2.0,GIGABYTE,H310,55.10,2,64,2666,0,FALSE,FALSE
Asus Prime H310M-E R2.0,ASUS,H310,52.67,2,64,2666,1,FALSE,TRUE
ECS H310H5-M7,ECS,H310,52.32,2,64,2666,1,FALSE,TRUE
Asus Prime H310M-A / CSM,ASUS,H310,49.44,2,64,2666,1,FALSE,TRUE
Asrock H310CM-HDV,ASROCK,H310,49.46,2,64,2666,0,FALSE,FALSE
ECS H310H5-M2,ECS,H310,49.08,2,64,2666,0,FALSE,FALSE
Asus Prime H310-Plus,ASUS,H310,48.79,2,64,2666,1,FALSE,TRUE
Asrock H310M-DGS,ASROCK,H310,45.24,2,64,2666,0,FALSE,FALSE
Gigabyte H310M S2H (rev.1.1),GIGABYTE,H310,44.13,2,64,2666,1,FALSE,TRUE
Gigabyte H370 Aorus Gaming 3 WiFi,GIGABYTE,H370,148.62,4,128,2666,2,TRUE,TRUE
Msi H370M Bazooka,MSI,H370,145.54,4,128,2666,1,FALSE,TRUE
Asrock Fatal1ty H370 Performance,ASROCK,H370,130.32,4,128,2666,2,FALSE,TRUE
Biostar TB360-BTC Expert,BIOSTAR,H370,128.56,2,64,2666,1,FALSE,TRUE
Asus ROG Strix H370-F Gaming,ASUS,H370,127.50,4,128,2666,2,FALSE,TRUE
Asus Prime H370-A / CSM,ASUS,H370,126.42,4,128,2666,2,FALSE,TRUE
Asus TUF H370-Pro Gaming (Wi-Fi),ASUS,H370,126.04,4,128,2666,2,TRUE,TRUE
Gigabyte H370M D3H GSM,GIGABYTE,H370,123.38,4,128,2666,2,FALSE,TRUE
Gigabyte H370N WiFi,GIGABYTE,H370,123.27,2,64,2666,2,TRUE,TRUE
Msi H370 Gaming Plus,MSI,H370,122.86,4,128,2666,1,FALSE,TRUE
Asus Prime H370-A,ASUS,H370,114.79,4,128,2666,2,FALSE,TRUE
EVGA H370 Stinger (111-CS-E371-KR),EVGA,H370,103.66,2,64,2666,1,TRUE,TRUE
Asus H370 Mining Master,ASUS,H370,102.07,2,64,2666,0,FALSE,FALSE
Gigabyte H370M D3H,GIGABYTE,H370,97.86,4,128,2666,2,FALSE,TRUE
Asus Prime H370-Plus,ASUS,H370,94.71,4,128,2666,2,FALSE,TRUE
Gigabyte H370M DS3H,GIGABYTE,H370,85.28,4,128,2666,2,FALSE,TRUE
Asus ROG Strix H370-I Gaming,ASUS,H370,84.16,2,64,2666,2,TRUE,TRUE
Asus TUF H370-Pro Gaming,ASUS,H370,67.40,4,128,2666,2,FALSE,TRUE
Asus Prime H370M-Plus / CSM,ASUS,H370,61.29,4,128,2666,2,FALSE,TRUE
Asus Prime H370-Plus / CSM,ASUS,H370,55.15,4,128,2666,2,FALSE,TRUE
Msi H370 Gaming Pro Carbon,MSI,H370,55.38,4,128,2666,2,FALSE,TRUE
Gigabyte H370 Aorus Gaming 3,GIGABYTE,H370,50.20,4,128,2666,2,FALSE,TRUE
Gigabyte H370 HD3,GIGABYTE,H370,47.02,4,128,2666,2,FALSE,TRUE
Asrock H370 Pro4,ASROCK,H370,44.42,4,128,2666,2,FALSE,TRUE
Asrock H370M Pro4,ASROCK,H370,44.83,4,128,2666,2,FALSE,TRUE
Asrock H370M-ITX/ac,ASROCK,H370,43.40,2,64,2666,1,TRUE,TRUE
Asus Prime H370M-Plus,ASUS,H370,41.85,4,128,2666,2,FALSE,TRUE
Gigabyte Z370 Aorus Ultra Gaming WiFi,GIGABYTE,Z370,292.36,4,128,4000,2,TRUE,TRUE
Biostar Racing Z370GT7 Ver.5.x,BIOSTAR,Z370,291.26,4,128,4000,2,FALSE,TRUE
Gigabyte Z370M DS3H,GIGABYTE,Z370,287.04,4,128,4000,1,FALSE,TRUE
Asus TUF Z370-Plus Gaming,ASUS,Z370,287.61,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 Aorus Gaming 7-OP,GIGABYTE,Z370,286.75,4,128,4000,3,FALSE,TRUE
Colorful Battle AXE C.Z370M-DH V20,COLORFUL,Z370,283.86,2,64,4000,2,FALSE,TRUE
Msi Z370 PC Pro,MSI,Z370,283.32,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 Aorus Ultra Gaming,GIGABYTE,Z370,279.97,4,128,4000,2,FALSE,TRUE
Asrock Z370M Pro4,ASROCK,Z370,277.73,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 Aorus Ultra Gaming 2.0,GIGABYTE,Z370,276.11,4,128,4000,2,FALSE,TRUE
Biostar Racing Z370GT6 Ver.5.x,BIOSTAR,Z370,272.54,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 Aorus Gaming WiFi,GIGABYTE,Z370,270.61,4,128,4000,2,TRUE,TRUE
Asus ROG Strix Z370-G Gaming (Wi-Fi AC),ASUS,Z370,269.27,4,128,4000,2,TRUE,TRUE
Msi Z370 Krait Gaming,MSI,Z370,263.86,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 HD3-OP,GIGABYTE,Z370,261.05,4,128,4000,1,FALSE,TRUE
Gigabyte Z370XP SLI,GIGABYTE,Z370,257.84,4,128,4000,2,FALSE,TRUE
Gigabyte Z370P D3,GIGABYTE,Z370,256.10,4,128,4000,1,FALSE,TRUE
Msi Z370 Gaming Pro Carbon AC,MSI,Z370,254.63,4,128,4000,2,TRUE,TRUE
Gigabyte Z370 Aorus Gaming 7,GIGABYTE,Z370,251.99,4,128,4000,3,FALSE,TRUE
Asus ROG Strix Z370-F Gaming,ASUS,Z370,249.63,4,128,4000,2,FALSE,TRUE
EVGA Z370 Micro (121-KS-E375-KR),EVGA,Z370,247.63,2,64,4000,1,TRUE,TRUE
Msi Z370 Gaming Plus,MSI,Z370,246.63,4,128,4000,1,FALSE,TRUE
Maxsun iCraft Z370 Gaming,MAXSUN,Z370,246.74,4,128,4000,2,FALSE,TRUE
Asus ROG Maximus X Hero (Wi-Fi AC) Rev.1.01,ASUS,Z370,245.45,4,128,4000,2,TRUE,TRUE
Gigabyte Z370M D3H,GIGABYTE,Z370,242.01,4,128,4000,2,FALSE,TRUE
Asus ROG Maximus X Code,ASUS,Z370,239.13,4,128,4000,2,TRUE,TRUE
Asus ROG Maximus X Formula,ASUS,Z370,238.52,4,128,4000,2,TRUE,TRUE
Asus ROG Strix Z370-G Gaming,ASUS,Z370,238.25,4,128,4000,2,FALSE,TRUE
Asrock Z370 Killer SLI,ASROCK,Z370,236.73,4,128,4000,2,FALSE,TRUE
Asus ROG Strix Z370-E Gaming,ASUS,Z370,235.98,4,128,4000,2,TRUE,TRUE
EVGA Z370 FTW,EVGA,Z370,234.95,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 HD3P,GIGABYTE,Z370,234.65,4,128,4000,2,FALSE,TRUE
Msi Z370 Gaming Pro Carbon,MSI,Z370,232.84,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 Aorus Gaming K3,GIGABYTE,Z370,231.81,4,128,4000,2,FALSE,TRUE
Asus TUF Z370-Pro Gaming,ASUS,Z370,226.78,4,128,4000,2,FALSE,TRUE
Asus Prime Z370-P,ASUS,Z370,223.21,4,128,4000,2,FALSE,TRUE
Asrock Z370 Taichi,ASROCK,Z370,223.25,4,128,4000,3,TRUE,TRUE
Msi Z370 SLI Plus,MSI,Z370,222.20,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 Aorus Gaming 5,GIGABYTE,Z370,216.15,4,128,4000,3,TRUE,TRUE
Asus ROG Strix Z370-H Gaming,ASUS,Z370,212.64,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 UD3H,GIGABYTE,Z370,212.48,4,128,4000,2,FALSE,TRUE
Msi Z370M Gaming Pro AC,MSI,Z370,211.03,4,128,4000,2,TRUE,TRUE
Asus Prime Z370-A,ASUS,Z370,211.21,4,128,4000,2,FALSE,TRUE
Msi Z370 Godlike Gaming,MSI,Z370,207.91,4,128,4000,5,TRUE,TRUE
Asrock Fatal1ty Z370 Professional Gaming i7,ASROCK,Z370,206.32,4,128,4000,3,TRUE,TRUE
Gigabyte Z370N WiFi,GIGABYTE,Z370,205.08,2,64,4000,2,TRUE,TRUE
Asrock Z370 Pro4,ASROCK,Z370,205.06,4,128,4000,2,FALSE,TRUE
Asus Prime Z370-A II,ASUS,Z370,200.05,4,128,4000,2,FALSE,TRUE
Colorful iGame Z370 Vulcan X V20,COLORFUL,Z370,194.75,4,128,4000,2,FALSE,TRUE
NZXT N7 Z370 Matte Black (N7-Z37XT-B1),NZXT,Z370,194.69,4,128,4000,2,FALSE,TRUE
Msi Z370I Gaming Pro Carbon AC,MSI,Z370,192.79,2,64,4000,1,TRUE,TRUE
Asrock Fatal1ty Z370 Gaming K6,ASROCK,Z370,180.87,4,128,4000,2,FALSE,TRUE
Asrock Z370M-ITX/ac,ASROCK,Z370,178.69,2,64,4000,1,TRUE,TRUE
Msi Z370-A Pro,MSI,Z370,177.57,4,128,4000,1,FALSE,TRUE
Asus ROG Maximus X Apex,ASUS,Z370,176.84,2,64,4000,2,FALSE,TRUE
Msi Z370M Mortar,MSI,Z370,176.40,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 Aorus Ultra Gaming 2.0-OP,GIGABYTE,Z370,172.09,4,128,4000,2,FALSE,TRUE
Asrock Z370 Killer SLI/ac,ASROCK,Z370,171.09,4,128,4000,2,TRUE,TRUE
ECS Z370 Lightsaber,ECS,Z370,169.60,4,128,4000,2,FALSE,TRUE
Msi Z370 Tomahawk,MSI,Z370,169.09,4,128,4000,2,FALSE,TRUE
Asus ROG Maximus X Hero,ASUS,Z370,168.27,4,128,4000,2,FALSE,TRUE
Msi Z370 Gaming M5,MSI,Z370,164.44,4,128,4000,2,FALSE,TRUE
Supermicro C7Z370-CG-L,SUPERMICRO,Z370,161.83,4,128,4000,2,FALSE,TRUE
Asrock Z370 Extreme4,ASROCK,Z370,161.16,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 Aorus Gaming 3,GIGABYTE,Z370,158.47,4,128,4000,2,FALSE,TRUE
Gigabyte Z370 HD3,GIGABYTE,Z370,154.98,4,128,4000,1,FALSE,TRUE
Gigabyte Z370 Aorus Ultra Gaming WiFi-OP,GIGABYTE,Z370,153.48,4,128,4000,2,TRUE,TRUE
Asrock Fatal1ty Z370 Gaming-ITX/ac,ASROCK,Z370,152.98,2,64,4000,1,TRUE,TRUE
Supermicro C7Z370-CG-IW,SUPERMICRO,Z370,152.90,2,64,4000,2,TRUE,TRUE
NZXT N7 Z370 Matte White (N7-Z37XT-W1),NZXT,Z370,151.14,4,128,4000,2,FALSE,TRUE
Asus ROG Strix Z370-I Gaming,ASUS,Z370,151.85,2,64,4000,2,TRUE,TRUE
EVGA Z370 Classified K,EVGA,Z370,150.50,4,128,4000,2,FALSE,TRUE
Gigabyte Z390 Aorus Pro WiFi,GIGABYTE,Z390,394.74,4,128,4500,2,TRUE,TRUE
EVGA Z390 FTW,EVGA,Z390,393.96,4,128,4500,2,FALSE,TRUE
Gigabyte Z390 Aorus Ultra,GIGABYTE,Z390,390.21,4,128,4500,3,TRUE,TRUE
Asrock Z390 Phantom Gaming 6,ASROCK,Z390,388.24,4,128,4500,2,FALSE,TRUE
Asus ROG Strix Z390-H Gaming,ASUS,Z390,384.37,4,128,4500,2,FALSE,TRUE
Asus TUF Z390-Plus Gaming (Wi-Fi),ASUS,Z390,382.59,4,128,4500,2,TRUE,TRUE
Asrock Z390 Phantom Gaming 4S,ASROCK,Z390,382.07,4,128,4500,1,FALSE,TRUE
EVGA Z390 Dark,EVGA,Z390,379.04,2,64,4500,2,TRUE,TRUE
Gigabyte Z390 Aorus Pro,GIGABYTE,Z390,378.47,4,128,4500,2,FALSE,TRUE
Asus ROG Maximus XI Hero,ASUS,Z390,376.91,4,128,4500,2,FALSE,TRUE
Asus ROG Maximus XI Code,ASUS,Z390,376.38,4,128,4500,2,TRUE,TRUE
Asus ROG Strix Z390-E Gaming,ASUS,Z390,375.06,4,128,4500,2,TRUE,TRUE
Colorful iGame Z390 Vulcan X V20,COLORFUL,Z390,375.16,4,128,4500,2,TRUE,TRUE
Asus Prime Z390-A,ASUS,Z390,374.77,4,128,4500,2,FALSE,TRUE
Asrock Z390 Steel Legend,ASROCK,Z390,369.63,4,128,4500,2,FALSE,TRUE
Gigabyte Z390 Aorus Xtreme,GIGABYTE,Z390,368.62,4,128,4500,3,TRUE,TRUE
Asrock Z390 Phantom Gaming SLI,ASROCK,Z390,363.30,4,128,4500,2,FALSE,TRUE
Asrock Z390 Phantom Gaming SLI/ac,ASROCK,Z390,360.57,4,128,4500,2,TRUE,TRUE
Asus ROG Maximus XI Extreme,ASUS,Z390,353.51,4,128,4500,4,TRUE,TRUE
Colorful iGame Z390-X RNG Edition V20,COLORFUL,Z390,348.15,4,128,4500,2,TRUE,TRUE
Asus WS Z390 Pro,ASUS,Z390,342.31,4,128,4500,2,FALSE,TRUE
Gigabyte Z390 Designare,GIGABYTE,Z390,340.67,4,128,4500,2,TRUE,TRUE
Asrock Z390 Phantom Gaming X,ASROCK,Z390,337.09,4,128,4500,3,TRUE,TRUE
Asrock Z390 Extreme4,ASROCK,Z390,337.30,4,128,4500,2,FALSE,TRUE
Asrock Z390 Taichi,ASROCK,Z390,320.96,4,128,4500,3,TRUE,TRUE
Gigabyte Z390 Aorus Xtreme Waterforce,GIGABYTE,Z390,316.22,4,128,4500,3,TRUE,TRUE
Gigabyte Z390 Aorus Elite,GIGABYTE,Z390,315.33,4,128,4500,2,FALSE,TRUE
Msi MEG Z390 Godlike,MSI,Z390,312.86,4,128,4500,5,TRUE,TRUE
Asus TUF Z390-Pro Gaming,ASUS,Z390,311.58,4,128,4500,2,FALSE,TRUE
Asrock Z390 Phantom Gaming 9,ASROCK,Z390,304.26,4,128,4500,3,TRUE,TRUE
Asus ROG Maximus XI Hero (Wi-Fi),ASUS,Z390,301.25,4,128,4500,2,TRUE,TRUE
Asus ROG Maximus XI Apex,ASUS,Z390,292.21,2,64,4500,2,TRUE,TRUE
Asrock Z390 Taichi Ultimate,ASROCK,Z390,292.56,4,128,4500,3,TRUE,TRUE
Asrock Z390 Phantom Gaming 7,ASROCK,Z390,290.50,4,128,4500,2,FALSE,TRUE
Asrock Z390 Phantom Gaming 4,ASROCK,Z390,285.94,4,128,4500,2,FALSE,TRUE
Colorful Battle-AX Z390AK Gaming V20,COLORFUL,Z390,284.52,4,128,4500,2,FALSE,TRUE
Asus ROG Maximus XI Formula,ASUS,Z390,280.14,4,128,4500,2,TRUE,TRUE
Asus TUF Z390-Plus Gaming,ASUS,Z390,276.48,4,128,4500,2,FALSE,TRUE
Asus Prime Z390-P,ASUS,Z390,273.65,4,128,4500,2,FALSE,TRUE
Asus ROG Strix Z390-F Gaming,ASUS,Z390,253.88,4,128,4500,2,FALSE,TRUE
Gigabyte Z390 Aorus Master,GIGABYTE,Z390,253.42,4,128,4500,3,TRUE,TRUE
Asrock Z390 Pro4,ASROCK,Z390,250.92,4,128,4500,2,FALSE,TRUE
Gigabyte Z390 I Aorus Pro WiFi,GIGABYTE,Z390,244.00,2,64,4500,2,TRUE,TRUE
Msi MPG Z390 Gaming Edge AC,MSI,Z390,242.36,4,128,4500,2,TRUE,TRUE
Asrock Z390 Phantom Gaming-ITX/ac,ASROCK,Z390,238.30,2,64,4500,2,TRUE,TRUE
Msi MPG Z390M Gaming Edge AC,MSI,Z390,238.45,4,128,4500,2,TRUE,TRUE
Gigabyte Z390 M,GIGABYTE,Z390,237.64,4,128,4500,2,FALSE,TRUE
Colorful CVN Z390M Gaming V20,COLORFUL,Z390,229.66,4,128,4500,2,FALSE,TRUE
Asus ROG Maximus XI Gene,ASUS,Z390,227.59,2,64,4500,4,TRUE,TRUE
Asus TUF Z390M-Pro Gaming,ASUS,Z390,227.98,4,128,4500,2,FALSE,TRUE
Asrock Z390M Pro4,ASROCK,Z390,225.32,4,128,4500,2,FALSE,TRUE
Asus Prime Z390M-Plus,ASUS,Z390,222.09,4,128,4500,2,FALSE,TRUE
Asrock Z390M-ITX/ac,ASROCK,Z390,221.29,2,64,4500,1,TRUE,TRUE
Supermicro C9Z390-PGW,SUPERMICRO,Z390,218.81,4,128,4500,2,TRUE,TRUE
Gigabyte Z390 Gaming X,GIGABYTE,Z390,212.90,4,128,4500,2,FALSE,TRUE
Asus TUF Z390M-Pro Gaming (Wi-Fi),ASUS,Z390,211.82,4,128,4500,2,TRUE,TRUE
Supermicro C9Z390-CGW,SUPERMICRO,Z390,205.76,4,128,4500,2,TRUE,TRUE
